Category: All categories

Month,Docker Container: (Worldwide)
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,<1
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,<1
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,<1
2011-08,0
2011-09,<1
2011-10,<1
2011-11,0
2011-12,<1
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,<1
2012-09,0
2012-10,0
2012-11,0
2012-12,<1
2013-01,<1
2013-02,0
2013-03,<1
2013-04,<1
2013-05,<1
2013-06,<1
2013-07,<1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,2
2014-04,3
2014-05,4
2014-06,5
2014-07,6
2014-08,7
2014-09,8
2014-10,9
2014-11,12
2014-12,12
2015-01,12
2015-02,14
2015-03,16
2015-04,17
2015-05,17
2015-06,19
2015-07,21
2015-08,20
2015-09,22
2015-10,22
2015-11,25
2015-12,24
2016-01,27
2016-02,35
2016-03,33
2016-04,35
2016-05,38
2016-06,42
2016-07,38
2016-08,40
2016-09,43
2016-10,44
2016-11,50
2016-12,48
2017-01,54
2017-02,60
2017-03,66
2017-04,62
2017-05,64
2017-06,67
2017-07,64
2017-08,68
2017-09,69
2017-10,72
2017-11,75
2017-12,66
2018-01,76
2018-02,82
2018-03,82
2018-04,80
2018-05,83
2018-06,86
2018-07,82
2018-08,89
2018-09,84
2018-10,91
2018-11,91
2018-12,78
2019-01,93
2019-02,100
2019-03,92
2019-04,96
2019-05,95
